Feature,Importance
Template_72,0.10291125558332827
Template_22,0.10035933790838046
Template_69,0.09372497276553887
Template_70,0.06340185121448041
Template_26,0.05467284646832205
Template_21,0.05172191230774475
Template_23,0.04727887828003951
Template_58,0.0355543084391954
Template_64,0.031936183116283705
Template_24,0.03141413043814903
Template_14,0.03014575264406507
Template_25,0.029667825868442795
Template_59,0.029283077451260898
Template_61,0.028317906031856462
Template_63,0.02808286471393502
Template_60,0.02714109137791203
Template_18,0.02586461050763795
Template_62,0.022347289372214738
Template_27,0.020510806321720376
Template_68,0.01959212886664494
Template_17,0.01374753690847478
Template_76,0.012704501871148279
Template_16,0.012162677596165461
Template_74,0.01054952272825613
Template_78,0.007687572455201979
Template_8,0.0076672589537906365
Template_9,0.004689336085632096
Template_5,0.004634901581060508
Template_75,0.004543547353975516
Template_65,0.004471764564825544
Template_4,0.00443799756603855
Template_7,0.003993189317610971
Template_67,0.003873580904429287
Template_71,0.0038055469552574096
Template_84,0.0034891045374924796
Template_79,0.0033506387748080814
Template_10,0.0033147775816384038
Template_11,0.002373064544345828
Template_28,0.00179766141610258
Template_66,0.0017226690904424847
Template_13,0.0016812735821111627
Template_12,0.0011780009378777935
Template_82,0.0011130464784697442
Template_98,0.0010826968156597955
Template_2,0.0010084679563714704
Template_80,0.000885816989133317
Template_99,0.0008247422680412379
Template_1,0.0007246376811594296
Template_96,0.000704293592205646
Template_6,0.0006739583283776995
Template_107,0.0004433317474500165
Template_81,0.0003866905893946118
Template_73,0.0002461516095847855
Template_15,7.431787959591389e-05
Template_3,2.6693080717644747e-05
Template_100,1.2919637348747187e-18
Template_32,1.1045827938558766e-18
Template_19,0.0
Template_20,0.0
Template_43,0.0
Template_42,0.0
Template_41,0.0
Template_40,0.0
Template_39,0.0
Template_38,0.0
Template_37,0.0
Template_36,0.0
Template_35,0.0
Template_34,0.0
Template_33,0.0
Template_31,0.0
Template_29,0.0
Template_30,0.0
Template_56,0.0
Template_57,0.0
Template_51,0.0
Template_50,0.0
Template_44,0.0
Template_45,0.0
Template_48,0.0
Template_49,0.0
Template_46,0.0
Template_47,0.0
Template_55,0.0
Template_54,0.0
Template_52,0.0
Template_53,0.0
Template_83,0.0
Template_85,0.0
Template_86,0.0
Template_77,0.0
Template_91,0.0
Template_90,0.0
Template_89,0.0
Template_88,0.0
Template_87,0.0
Template_94,0.0
Template_95,0.0
Template_92,0.0
Template_97,0.0
Template_93,0.0
Template_102,0.0
Template_101,0.0
Template_103,0.0
Template_104,0.0
Template_105,0.0
Template_106,0.0
